date,timestamp,source_name,headline,snippet,url,issue_area,geography_refs,geography_matches,source_type,domain,language,is_synthetic_operational_demo
2026-05-23,2026-05-23T18:58:00,Syracuse Policy Review,Suffolk tech expansion stories raise questions about workforce stability as pressure grows,"Syracuse Policy Review notes that AI / tech jobs narratives in Long Island are being repeated across policy newsletter coverage, with Suffolk residents emphasizing pressure.",https://example.com/operational-demo/01192,AI / tech jobs,Suffolk; Long Island,Suffolk; Long Island,policy newsletter,syracusepolicyreview.example,English,True
2026-05-23,2026-05-23T18:31:00,Buffalo Civic Wire,Staten Island families describe grocery and utility pressure as frustration grows,"Buffalo Civic Wire notes that affordability / cost of living narratives in NYC are being repeated across TV transcript coverage, with Staten Island residents emphasizing frustration.",https://example.com/operational-demo/00739,affordability / cost of living,Staten Island; NYC,Staten Island; NYC,TV transcript,buffalocivicwire.example,English,True
2026-05-23,2026-05-23T18:28:00,Syracuse Policy Review,Erie County commuters connect fare pressure to household budgets as strain grows,"Syracuse Policy Review notes that affordability / cost of living narratives in Western NY are being repeated across social listening digest coverage, with Erie County residents emphasizing strain.",https://example.com/operational-demo/01002,affordability / cost of living,Erie County; Western NY,Erie County; Western NY,social listening digest,syracusepolicyreview.example,English,True
2026-05-23,2026-05-23T18:27:00,Queens Community Post,Hempstead tech expansion stories raise questions about workforce stability as pressure grows,"Queens Community Post notes that AI / tech jobs narratives in Long Island are being repeated across social listening digest coverage, with Hempstead residents emphasizing pressure.",https://example.com/operational-demo/00778,AI / tech jobs,Hempstead; Long Island,Hempstead; Long Island,social listening digest,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T18:23:00,Hudson Valley Public Radio,Nassau community groups ask for clearer asylum support plans as questions grows,"Hudson Valley Public Radio notes that immigration / public safety narratives in Long Island are being repeated across social listening digest coverage, with Nassau residents emphasizing questions.",https://example.com/operational-demo/01683,immigration / public safety,Nassau; Long Island,Nassau; Long Island,social listening digest,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T18:10:00,Empire State Ledger,Queens renters describe instability and repair delays as response grows,"Empire State Ledger notes that housing / rent narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing response.",https://example.com/operational-demo/00271,housing / rent,Queens; NYC,Queens; NYC,local news,empirestateledger.example,English,True
2026-05-23,2026-05-23T17:44:00,Empire State Ledger,Rockland residents ask for concrete cost-of-living plans as progress grows,"Empire State Ledger notes that affordability / cost of living narratives in Hudson Valley are being repeated across public radio coverage, with Rockland residents emphasizing progress.",https://example.com/operational-demo/01351,affordability / cost of living,Rockland; Hudson Valley,Rockland; Hudson Valley,public radio,empirestateledger.example,English,True
2026-05-23,2026-05-23T17:40:00,Long Island Observer,Schenectady voters connect ethics stories to broader competence concerns as questions grows,"Long Island Observer notes that corruption / competence / trust narratives in Capital Region are being repeated across policy newsletter coverage, with Schenectady residents emphasizing questions.",https://example.com/operational-demo/01274,corruption / competence / trust,Schenectady; Capital Region,Schenectady; Capital Region,policy newsletter,longislandobserver.example,English,True
2026-05-23,2026-05-23T17:38:00,Statehouse Watch,Queens subway and downtown safety concerns continue to circulate as strain grows,"Statehouse Watch notes that immigration / public safety narratives in NYC are being repeated across social listening digest coverage, with Queens residents emphasizing strain.",https://example.com/operational-demo/01423,immigration / public safety,Queens; NYC,Queens; NYC,social listening digest,statehousewatch.example,English,True
2026-05-23,2026-05-23T17:35:00,Long Island Observer,Yonkers officials debate public safety coordination and fairness as pressure grows,"Long Island Observer notes that immigration / public safety narratives in Hudson Valley are being repeated across social listening digest coverage, with Yonkers residents emphasizing pressure.",https://example.com/operational-demo/01098,immigration / public safety,Yonkers; Hudson Valley,Yonkers; Hudson Valley,social listening digest,longislandobserver.example,English,True
