date,source_name,headline,snippet,url,issue_area,geography_refs,source_type
2026-04-30,NY Daily Ledger,Queens renters press candidates on eviction filings and rising legal costs,"Tenant groups in Queens said eviction pressure is back in focus as families ask for faster housing relief and clearer court support.",https://example.com/queens-renters,housing / rent,"Queens; NYC",local news
2026-05-01,Buffalo Civic Wire,Buffalo manufacturers split on AI training funds,"Western NY employers praised new workforce training money but workers raised concern that automation could move faster than wages.",https://example.com/buffalo-ai-training,AI / tech jobs,"Buffalo; Western NY",local news
2026-05-02,Capitol Notebook,Albany audit renews procurement transparency questions,"A state audit found mismanagement in a technology procurement process, putting accountability and competence back into the campaign conversation.",https://example.com/albany-audit,corruption / competence / trust,"Albany; Capital Region",state politics blog
2026-05-03,Metro Borough Feed,Brooklyn parents cite grocery prices and child care pressure,"At a weekend forum, parents described grocery prices, utility bills, and child care costs as the daily affordability squeeze shaping their vote.",https://example.com/brooklyn-costs,affordability / cost of living,"Brooklyn; NYC",community forum
2026-05-04,Long Island Observer,Nassau commuters react to possible MTA fare hike,"Long Island riders said a potential fare hike would add commute strain while local officials called for fiscal discipline and service improvements.",https://example.com/nassau-fares,affordability / cost of living,"Nassau; Long Island",local news
2026-05-05,Hudson Valley Public Radio,Westchester mayors ask for housing delivery plan,"Local leaders said zoning delays and vacancy issues are making affordable units harder to deliver across the Hudson Valley.",https://example.com/westchester-housing,housing / rent,"Westchester; Hudson Valley",public radio
2026-05-06,NYC Safety Monitor,Subway safety complaints spike after late-night incidents,"Riders reported unsafe platforms and quality of life complaints after several late-night subway safety incidents in Manhattan and Brooklyn.",https://example.com/subway-safety,immigration / public safety,"Manhattan; Brooklyn; NYC",social listening digest
2026-05-07,Syracuse Tech Review,Micron suppliers push Central NY jobs message,"Syracuse startups and semiconductor suppliers highlighted jobs, training, and investment while unions asked for guardrails around automation.",https://example.com/syracuse-tech-jobs,AI / tech jobs,"Syracuse; Central NY",trade publication
2026-05-08,Statehouse Watch,Ethics complaints keep trust issue alive in Albany,"New ethics complaints prompted calls for transparency, with reform groups arguing voters want accountability before any new spending promises.",https://example.com/ethics-complaints,corruption / competence / trust,"Albany; Statewide",state politics blog
2026-05-09,The City Desk,Migrant shelter deadline sparks neighborhood meeting in Queens,"A shelter deadline brought immigration, public safety, and fairness concerns into the same tense Queens meeting.",https://example.com/queens-shelter,immigration / public safety,"Queens; NYC",local news
2026-05-10,Rochester Herald,Rochester residents ask why utility bills remain high,"Residents linked utility costs to broader cost of living frustration and asked candidates for specific relief plans.",https://example.com/rochester-utilities,affordability / cost of living,"Rochester; Western NY",local news
2026-05-11,Bronx Community Post,Bronx tenants protest rent-stabilized building repairs,"Tenants said rent-stabilized apartments are becoming unstable because repairs lag and landlord accountability feels weak.",https://example.com/bronx-tenants,housing / rent,"Bronx; NYC",community forum
2026-05-12,North Country News,Watertown leaders debate asylum support and police overtime,"Local officials said asylum support, police overtime, and public safety planning need clearer state coordination.",https://example.com/watertown-asylum,immigration / public safety,"Watertown; North Country",local news
2026-05-13,Long Island Civic Pulse,Hempstead small businesses complain about shoplifting and insurance costs,"Business owners connected shoplifting, public safety, and rising insurance prices as quality of life issues for suburban downtowns.",https://example.com/hempstead-safety,immigration / public safety,"Hempstead; Long Island",business association post
2026-05-14,Albany Ledger,Procurement investigation expands after contractor records released,"An investigation into contractor records renewed corruption concerns and sharpened questions about competence in state program delivery.",https://example.com/procurement-investigation,corruption / competence / trust,"Albany; Capital Region",local news
2026-05-15,Queens Tech Meetup,AI startup expansion opens jobs but raises displacement questions,"A Queens startup expansion was welcomed for jobs, though workers asked whether artificial intelligence would require stronger retraining pathways.",https://example.com/queens-ai,AI / tech jobs,"Queens; NYC",social platform
2026-05-16,Manhattan Bulletin,Manhattan renters call housing the affordability issue,"Renters said housing costs, vacancy pressure, and rent increases are overwhelming any progress on wages.",https://example.com/manhattan-rent,housing / rent,"Manhattan; NYC",local news
2026-05-17,Capital Region Tonight,Albany watchdog groups demand faster ethics response,"Watchdog groups said delayed ethics enforcement has become a trust and accountability test for candidates.",https://example.com/ethics-response,corruption / competence / trust,"Albany; Capital Region",TV transcript
2026-05-18,NY Suburban Wire,Suffolk families say grocery and insurance costs dominate town hall,"Families described inflation, groceries, and health care costs as urgent concerns and asked for plain-spoken relief proposals.",https://example.com/suffolk-affordability,affordability / cost of living,"Suffolk; Long Island",local news
2026-05-19,Metro Social Scan,Brooklyn clips about subway safety and shelter siting spread online,"Short videos tied subway safety, migrant shelter siting, and neighborhood quality of life into a high-emotion narrative.",https://example.com/brooklyn-social-safety,immigration / public safety,"Brooklyn; NYC",social platform
2026-05-20,Hudson Valley Ledger,Yonkers housing advocates warn of eviction spike,"Advocates said eviction filings and rent pressure are spiking, urging immediate housing stability measures.",https://example.com/yonkers-evictions,housing / rent,"Yonkers; Hudson Valley",local news
2026-05-21,Statewide Policy Brief,AI workforce bill gains support but unions want stronger safeguards,"The AI workforce bill drew support for training and tech jobs while labor groups asked for accountability on automation impacts.",https://example.com/ai-workforce-bill,AI / tech jobs,"Statewide; Albany",policy newsletter
2026-05-22,NY Accountability Journal,Audit language dominates clips from statewide candidate forum,"Clips about the audit, procurement, and transparency drew unusually high engagement and renewed competence questions.",https://example.com/audit-forum,corruption / competence / trust,"Statewide; Albany",social listening digest
2026-05-23,City Hall Watch,Queens meeting turns heated over shelter costs and public safety,"Residents raised urgent questions about shelter costs, immigration coordination, policing, and whether the city has a workable plan.",https://example.com/queens-heated-meeting,immigration / public safety,"Queens; NYC",local news
